packaging_material,submission_id,reporting_period,organisation_id,site_id,nation,packaging_class,activity,weight_tonnes,submission_date
Steel,REC-0038-Q2 2024-SITE-A-ST01,2024-Q2,ORG-12345,SITE-A,England,Shipment,Exported,,2024-03-14
Plastic,REC-0039-Q2 2024-SITE-E-PL02,2024-Q2,ORG-12345,SITE-E,England,Tertiary,Exported,,2024-07-08
Aluminium,REC-0040-2024-Q1-SITE-C-AL01,2024-Q1,ORG-12345,SITE-C,Wales,Tertiary,Exported,,2024-12-04
Fibre-based composite,REC-0041-2024-Q3-SITE-B-FB01,2024-Q3,ORG-12345,SITE-B,Scotland,Tertiary,Imported,,2024-08-28
Other,REC-0042-Q2 2024-SITE-A-OT01,2024-Q2,ORG-12345,SITE-A,England,Tertiary,Imported,,2024-02-02
Paper/card,REC-0043-2024-Q3-SITE-A-PC01,2024-Q3,ORG-12345,SITE-A,England,Shipment,Exported,,2024-02-04
Paper/card,REC-0044-Q4 2024-SITE-C-PC01,,ORG-12345,SITE-C,Wales,Primary,Exported,,2024-04-03
Aluminium,REC-0045-2024-Q1-SITE-D-AL01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Tertiary,Supplied as goods,,2024-07-03
Fibre-based composite,REC-0046-Q2 2024-SITE-C-FB01,2024-Q2,ORG-12345,SITE-C,Wales,Tertiary,Exported,,2024-03-10
Fibre-based composite,REC-0047-Q4 2024-SITE-B-FB01,,ORG-12345,SITE-B,Scotland,Tertiary,Supplied as goods,,2024-06-19
Aluminium,REC-0048-2024-Q3-SITE-C-AL01,2024-Q3,ORG-12345,SITE-C,Wales,Primary,Supplied as goods,,2024-06-05
Paper/card,REC-0049-2024-Q1-SITE-A-PC01,2024-Q1,ORG-12345,SITE-A,England,Tertiary,Exported,,2024-04-15
Steel,REC-0050-Q4 2024-SITE-C-ST01,,ORG-12345,SITE-C,Wales,Primary,Supplied as goods,,2024-10-02
Plastic,REC-0051-2024-Q1-SITE-D-PL02,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Secondary,Exported,,2024-10-16
Aluminium,REC-0052-2024-Q3-SITE-E-AL01,2024-Q3,ORG-12345,SITE-E,England,Secondary,Imported,,2024-03-18
Steel,REC-0053-2024-Q3-SITE-D-ST01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Shipment,Imported,,2024-03-20
Aluminium,REC-0054-2024-Q3-SITE-E-AL01,2024-Q3,ORG-12345,SITE-E,England,Secondary,Exported,,2024-10-21
Plastic,REC-0055-Q4 2024-SITE-D-PL01,,ORG-12345,SITE-D,Northern Ireland,Secondary,Imported,,2024-12-25
Aluminium,REC-0056-2024-Q3-SITE-A-AL01,2024-Q3,ORG-12345,SITE-A,England,Shipment,Imported,,2024-12-19
Paper/card,REC-0057-Q2 2024-SITE-B-PC01,2024-Q2,ORG-12345,SITE-B,Scotland,Primary,Supplied as goods,,2024-02-07
Aluminium,REC-0058-Q4 2024-SITE-D-AL01,,ORG-12345,SITE-D,Northern Ireland,Secondary,Exported,,2024-11-04
Aluminium,REC-0059-Q2 2024-SITE-B-AL01,2024-Q2,ORG-12345,SITE-B,Scotland,Tertiary,Exported,,2025-01-01
Plastic,REC-0060-Q4 2024-SITE-B-PL01,,ORG-12345,SITE-B,Scotland,Tertiary,Supplied as goods,,2024-10-26
Aluminium,REC-0061-2024-Q3-SITE-E-AL01,2024-Q3,ORG-12345,SITE-E,England,Tertiary,Supplied as goods,,2024-11-23
Other,REC-0062-Q4 2024-SITE-D-OT01,,ORG-12345,SITE-D,Northern Ireland,Secondary,Exported,,2024-05-20
Steel,REC-0063-Q4 2024-SITE-C-ST01,,ORG-12345,SITE-C,Wales,Tertiary,Exported,,2024-06-09
Aluminium,REC-0064-Q2 2024-SITE-B-AL01,2024-Q2,ORG-12345,SITE-B,Scotland,Secondary,Imported,,2024-07-29
Glass,REC-0065-Q4 2024-SITE-C-GL01,,ORG-12345,SITE-C,Wales,Tertiary,Supplied as goods,,2024-02-15
Aluminium,REC-0066-Q4 2024-SITE-E-AL01,,ORG-12345,SITE-E,England,Tertiary,Imported,,2024-01-18
Paper/card,REC-0067-Q2 2024-SITE-E-PC01,2024-Q2,ORG-12345,SITE-E,England,Secondary,Imported,,2024-05-06
Steel,REC-0068-Q2 2024-SITE-D-ST01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Secondary,Imported,,2024-03-20
Other,REC-0069-Q4 2024-SITE-A-OT01,,ORG-12345,SITE-A,England,Primary,Imported,,2024-09-07
Glass,REC-0070-2024-Q3-SITE-D-GL01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Primary,Imported,,2024-07-27
Steel,REC-0071-2024-Q1-SITE-D-ST01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Tertiary,Imported,,2024-10-17
Plastic,REC-0072-Q2 2024-SITE-A-PL01,2024-Q2,ORG-12345,SITE-A,England,Secondary,Supplied as goods,,2024-01-25
Glass,REC-0073-Q2 2024-SITE-E-GL01,2024-Q2,ORG-12345,SITE-E,England,Primary,Supplied as goods,,2025-01-07
Steel,REC-0074-2024-Q3-SITE-B-ST01,2024-Q3,ORG-12345,SITE-B,Scotland,Tertiary,Imported,,2024-11-06
Plastic,REC-0075-Q2 2024-SITE-D-PL01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Secondary,Exported,,2024-11-13
Aluminium,REC-0076-2024-Q1-SITE-E-AL01,2024-Q1,ORG-12345,SITE-E,England,Primary,Exported,,2024-10-13
Fibre-based composite,REC-0077-Q4 2024-SITE-A-FB01,,ORG-12345,SITE-A,England,Tertiary,Imported,,2024-03-09
Fibre-based composite,REC-0078-Q4 2024-SITE-B-FB01,,ORG-12345,SITE-B,Scotland,Secondary,Exported,,2024-10-08
Steel,REC-0079-2024-Q3-SITE-D-ST01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Shipment,Exported,,2024-05-19
Plastic,REC-0080-Q4 2024-SITE-E-PL02,,ORG-12345,SITE-E,England,Secondary,Imported,,2024-01-29
Wood,REC-0081-2024-Q3-SITE-C-WD01,2024-Q3,ORG-12345,SITE-C,Wales,Tertiary,Imported,,2024-06-06
Steel,REC-0082-Q2 2024-SITE-A-ST01,2024-Q2,ORG-12345,SITE-A,England,Shipment,Supplied as goods,,2024-08-10
Wood,REC-0083-2024-Q1-SITE-D-WD01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Shipment,Supplied as goods,,2024-06-13
Aluminium,REC-0084-2024-Q3-SITE-D-AL01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Secondary,Exported,,2024-10-22
Paper/card,REC-0085-Q2 2024-SITE-C-PC01,2024-Q2,ORG-12345,SITE-C,Wales,Secondary,Exported,,2024-04-22
Paper/card,REC-0086-Q2 2024-SITE-B-PC01,2024-Q2,ORG-12345,SITE-B,Scotland,Primary,Exported,,2024-09-18
Steel,REC-0087-Q2 2024-SITE-A-ST01,2024-Q2,ORG-12345,SITE-A,England,Tertiary,Exported,,2024-05-10
Paper/card,REC-0088-2024-Q1-SITE-C-PC01,2024-Q1,ORG-12345,SITE-C,Wales,Primary,Imported,,2024-10-24
Steel,REC-0089-2024-Q1-SITE-A-ST01,2024-Q1,ORG-12345,SITE-A,England,Tertiary,Supplied as goods,,2024-06-08
Wood,REC-0090-Q4 2024-SITE-C-WD01,,ORG-12345,SITE-C,Wales,Secondary,Imported,,2024-02-17
Fibre-based composite,REC-0091-Q2 2024-SITE-B-FB01,2024-Q2,ORG-12345,SITE-B,Scotland,Secondary,Supplied as goods,,2024-06-18
Plastic,REC-0092-Q2 2024-SITE-E-PL02,2024-Q2,ORG-12345,SITE-E,England,Primary,Supplied as goods,,2024-07-27
Wood,REC-0093-2024-Q1-SITE-C-WD01,2024-Q1,ORG-12345,SITE-C,Wales,Secondary,Imported,,2024-03-05
Aluminium,REC-0094-Q2 2024-SITE-B-AL01,2024-Q2,ORG-12345,SITE-B,Scotland,Tertiary,Supplied as goods,,2024-10-23
Plastic,REC-0095-2024-Q1-SITE-C-PL02,2024-Q1,ORG-12345,SITE-C,Wales,Primary,Supplied as goods,,2024-06-10
Steel,REC-0096-Q2 2024-SITE-C-ST01,2024-Q2,ORG-12345,SITE-C,Wales,Tertiary,Imported,,2024-03-13
Other,REC-0097-2024-Q1-SITE-B-OT01,2024-Q1,ORG-12345,SITE-B,Scotland,Primary,Exported,,2024-04-08
Steel,REC-0098-2024-Q1-SITE-D-ST01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Shipment,Exported,,2025-01-01
Steel,REC-0099-2024-Q1-SITE-D-ST01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Tertiary,Imported,,2024-02-04
Fibre-based composite,REC-0100-Q2 2024-SITE-A-FB01,2024-Q2,ORG-12345,SITE-A,England,Tertiary,Imported,,2024-11-04
Plastic,REC-0101-2024Q2-SITE-B-PL01,2024-Q2,ORG-12345,SITE-B,Scotland,Tertiary,Exported,,2024-12-13
Wood,REC-0102-2024-Q1-SITE-D-WD01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Secondary,Supplied as goods,,2024-07-11
Fibre-based composite,REC-0103-Q4 2024-SITE-C-FB01,,ORG-12345,SITE-C,Wales,Primary,Imported,,2024-09-24
Steel,REC-0104-2024-Q1-SITE-D-ST01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Tertiary,Imported,,2024-05-23
Paper/card,REC-0105-Q4 2024-SITE-E-PC01,,ORG-12345,SITE-E,England,Primary,Imported,,2024-02-11
Aluminium,REC-0106-2024-Q1-SITE-D-AL01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Shipment,Imported,,2024-05-30
Other,REC-0107-2024-Q1-SITE-A-OT01,2024-Q1,ORG-12345,SITE-A,England,Primary,Imported,,2024-03-15
Aluminium,REC-0108-Q4 2024-SITE-E-AL01,,ORG-12345,SITE-E,England,Tertiary,Supplied as goods,,2024-05-09
Plastic,REC-0109-2024-Q3-SITE-D-PL02,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Secondary,Supplied as goods,,2024-06-02
Fibre-based composite,REC-0110-Q2 2024-SITE-D-FB01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Tertiary,Imported,,2024-04-21
Other,REC-0111-2024-Q3-SITE-D-OT01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Tertiary,Supplied as goods,,2024-05-30
Plastic,REC-0112-Q4 2024-SITE-B-PL01,,ORG-12345,SITE-B,Scotland,Secondary,Exported,,2024-09-18
Paper/card,REC-0113-2024-Q3-SITE-D-PC01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Secondary,Exported,,2025-01-06
Aluminium,REC-0114-2024-Q3-SITE-A-AL01,2024-Q3,ORG-12345,SITE-A,England,Shipment,Imported,,2024-09-13
,REC-0115-2024-Q1-SITE-D-UNKNOWN,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Secondary,Exported,,2024-09-28
Paper/card,REC-0116-Q4 2024-SITE-A-PC01,,ORG-12345,SITE-A,England,Tertiary,Supplied as goods,,2024-03-28
Fibre-based composite,REC-0117-2024-Q3-SITE-Z-FB01,2024-Q3,ORG-12345,SITE-Z,,Tertiary,Exported,,2024-11-29
Fibre-based composite,REC-0118-Q4 2024-SITE-C-FB01,,ORG-12345,SITE-C,Wales,Tertiary,Supplied as goods,,2024-02-02
Plastic,REC-0119-2024-Q1-SITE-B-PL02,2024-Q1,ORG-12345,SITE-B,Scotland,Primary,Exported,,2024-03-05
Plastic,REC-0120-2024-Q3-SITE-A-PL02,2024-Q3,ORG-12345,SITE-A,England,Secondary,Supplied as goods,,2024-06-13
Paper/card,REC-0121-Q2 2024-SITE-E-PC01,2024-Q2,ORG-12345,SITE-E,England,Secondary,Imported,,2024-04-13
Plastic,REC-0122-Q2 2024-SITE-D-PL02,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Shipment,Imported,,2024-09-07
Steel,REC-0123-Q2 2024-SITE-C-ST01,2024-Q2,ORG-12345,SITE-C,Wales,Secondary,Imported,,2024-08-28
Paper/card,REC-0124-Q4 2024-SITE-C-PC01,,ORG-12345,SITE-C,Wales,Shipment,Imported,,2024-04-25
Fibre-based composite,REC-0125-2024-Q3-SITE-E-FB01,2024-Q3,ORG-12345,SITE-E,England,Tertiary,Imported,,2024-06-14
Steel,REC-0126-2024-Q1-SITE-E-ST01,2024-Q1,ORG-12345,SITE-E,England,Primary,Exported,,2024-09-25
Steel,REC-0127-Q2 2024-SITE-B-ST01,2024-Q2,ORG-12345,SITE-B,Scotland,Tertiary,Supplied as goods,,2024-05-22
Glass,REC-0128-Q4 2024-SITE-C-GL01,,ORG-12345,SITE-C,Wales,Tertiary,Supplied as goods,,2024-11-06
Paper/card,REC-0129-Q4 2024-SITE-C-PC01,,ORG-12345,SITE-C,Wales,Tertiary,Supplied as goods,,2024-04-26
Glass,REC-0130-2024-Q3-SITE-E-GL01,2024-Q3,ORG-12345,SITE-E,England,Tertiary,Exported,,2024-05-25
Wood,REC-0131-Q4 2024-SITE-A-WD01,,ORG-12345,SITE-A,England,Tertiary,Imported,,2024-03-27
Aluminium,REC-0132-2024-Q3-SITE-E-AL01,2024-Q3,ORG-12345,SITE-E,England,Tertiary,Exported,,2024-08-04
Plastic,REC-0133-Q4 2024-SITE-C-PL01,,ORG-12345,SITE-C,Wales,Secondary,Exported,,2024-07-23
Plastic,REC-0134-Q2 2024-SITE-E-PL02,2024-Q2,ORG-12345,SITE-E,England,Tertiary,Supplied as goods,,2024-02-16
Wood,REC-0135-2024-Q1-SITE-B-WD01,2024-Q1,ORG-12345,SITE-B,Scotland,Tertiary,Imported,,2024-06-18
Wood,REC-0136-Q4 2024-SITE-D-WD01,,ORG-12345,SITE-D,Northern Ireland,Primary,Supplied as goods,,2024-12-23
Other,REC-0137-2024-Q1-SITE-D-OT01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Secondary,Exported,,2024-11-25
Fibre-based composite,REC-0138-Q4 2024-SITE-D-FB01,,ORG-12345,SITE-D,Northern Ireland,Secondary,Supplied as goods,,2024-07-18
Plastic,REC-0139-Q4 2024-SITE-A-PL02,,ORG-12345,SITE-A,England,Tertiary,Imported,,2024-04-21
Plastic,REC-0140-2024-Q1-SITE-E-PL02,2024-Q1,ORG-12345,SITE-E,England,Tertiary,Imported,,2024-07-03
Aluminium,REC-0141-Q2 2024-SITE-E-AL01,2024-Q2,ORG-12345,SITE-E,England,Primary,Exported,,2024-07-01
Glass,REC-0142-2024-Q3-SITE-B-GL01,2024-Q3,ORG-12345,SITE-B,Scotland,Tertiary,Exported,,2024-03-11
Plastic,REC-0143-2024-Q3-SITE-E-PL01,2024-Q3,ORG-12345,SITE-E,England,Primary,Supplied as goods,,2024-04-13
Steel,REC-0144-Q4 2024-SITE-A-ST01,,ORG-12345,SITE-A,England,Primary,Supplied as goods,,2024-07-18
Other,REC-0145-2024-Q1-SITE-E-OT01,2024-Q1,ORG-12345,SITE-E,England,Shipment,Supplied as goods,,2024-12-17
Other,REC-0146-Q4 2024-SITE-A-OT01,,ORG-12345,SITE-A,England,Secondary,Imported,,2024-08-20
Plastic,REC-0147-2024-Q3-SITE-A-PL02,2024-Q3,ORG-12345,SITE-A,England,Secondary,Exported,,2024-03-30
Plastic,REC-0148-2024-Q3-SITE-D-PL02,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Primary,Imported,,2024-09-29
Fibre-based composite,REC-0149-Q4 2024-SITE-D-FB01,,ORG-12345,SITE-D,Northern Ireland,Primary,Exported,,2024-08-13
Paper/card,REC-0150-Q4 2024-SITE-C-PC01,,ORG-12345,SITE-C,Wales,Tertiary,Imported,,2024-12-20
Steel,REC-0151-2024-Q1-SITE-A-ST01,2024-Q1,ORG-12345,SITE-A,England,Secondary,Supplied as goods,,2024-03-02
Fibre-based composite,REC-0152-2024-Q1-SITE-E-FB01,2024-Q1,ORG-12345,SITE-E,England,Primary,Exported,,2024-10-28
Other,REC-0153-2024-Q1-SITE-D-OT01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Secondary,Exported,,2024-11-17
Steel,REC-0154-Q4 2024-SITE-B-ST01,,ORG-12345,SITE-B,Scotland,Secondary,Supplied as goods,,2024-03-10
Paper/card,REC-0155-Q2 2024-SITE-E-PC01,2024-Q2,ORG-12345,SITE-E,England,Tertiary,Exported,,2024-10-28
Other,REC-0156-Q2 2024-SITE-A-OT01,2024-Q2,ORG-12345,SITE-A,England,Primary,Exported,,2025-01-08
Steel,REC-0157-Q4 2024-SITE-E-ST01,,ORG-12345,SITE-E,England,Secondary,Imported,,2024-03-27
Plastic,REC-0158-Q4 2024-SITE-D-PL01,,ORG-12345,SITE-D,Northern Ireland,Primary,Exported,,2024-04-04
Paper/card,REC-0159-Q2 2024-SITE-A-PC01,2024-Q2,ORG-12345,SITE-A,England,Secondary,Exported,,2024-11-26
Plastic,REC-0160-Q4 2024-SITE-D-PL01,,ORG-12345,SITE-D,Northern Ireland,Tertiary,Supplied as goods,,2024-06-02
Aluminium,REC-0161-2024-Q3-SITE-A-AL01,2024-Q3,ORG-12345,SITE-A,England,Tertiary,Exported,,2024-12-27
Wood,REC-0162-2024-Q1-SITE-D-WD01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Shipment,Exported,,2024-04-28
Steel,REC-0163-2024-Q1-SITE-C-ST01,2024-Q1,ORG-12345,SITE-C,Wales,Primary,Supplied as goods,,2024-09-25
Fibre-based composite,REC-0164-2024-Q3-SITE-E-FB01,2024-Q3,ORG-12345,SITE-E,England,Primary,Supplied as goods,,2024-08-05
Plastic,REC-0165-Q4 2024-SITE-C-PL01,,ORG-12345,SITE-C,Wales,Secondary,Supplied as goods,,2024-08-09
Fibre-based composite,REC-0166-Q4 2024-SITE-B-FB01,,ORG-12345,SITE-B,Scotland,Secondary,Supplied as goods,,2024-07-18
Plastic,REC-0167-2024-Q1-SITE-E-PL02,2024-Q1,ORG-12345,SITE-E,England,Secondary,Supplied as goods,,2024-06-21
Paper/card,REC-0168-2024-Q1-SITE-E-PC01,2024-Q1,ORG-12345,SITE-E,England,Primary,Imported,,2024-10-02
Aluminium,REC-0169-2024-Q1-SITE-B-AL01,2024-Q1,ORG-12345,SITE-B,Scotland,Tertiary,Imported,,2024-05-25
Aluminium,REC-0170-Q4 2024-SITE-B-AL01,,ORG-12345,SITE-B,Scotland,Primary,Exported,,2024-10-29
Wood,REC-0171-Q2 2024-SITE-C-WD01,2024-Q2,ORG-12345,SITE-C,Wales,Tertiary,Exported,,2024-02-18
Wood,REC-0172-2024-Q1-SITE-E-WD01,2024-Q1,ORG-12345,SITE-E,England,Secondary,Exported,,2024-09-30
Plastic,REC-0173-2024-Q3-SITE-C-PL02,2024-Q3,ORG-12345,SITE-C,Wales,Secondary,Imported,,2024-12-10
Plastic,REC-0174-2024-Q1-SITE-E-PL02,2024-Q1,ORG-12345,SITE-E,England,Shipment,Exported,,2024-11-02
Aluminium,REC-0175-Q4 2024-SITE-A-AL01,,ORG-12345,SITE-A,England,Secondary,Exported,,2024-07-08
Plastic,REC-0176-Q4 2024-SITE-D-PL02,,ORG-12345,SITE-D,Northern Ireland,Shipment,Exported,,2024-10-08
Glass,REC-0177-2024-Q3-SITE-D-GL01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Secondary,Imported,,2024-11-16
Plastic,REC-0178-2024-Q1-SITE-C-PL01,2024-Q1,ORG-12345,SITE-C,Wales,Tertiary,Exported,,2024-12-27
Fibre-based composite,REC-0179-2024-Q1-SITE-C-FB01,2024-Q1,ORG-12345,SITE-C,Wales,Secondary,Imported,,2024-12-19
Glass,REC-0180-2024-Q1-SITE-B-GL01,2024-Q1,ORG-12345,SITE-B,Scotland,Secondary,Imported,,2024-10-27
Fibre-based composite,REC-0181-2024-Q3-SITE-D-FB01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Tertiary,Imported,,2024-07-18
Steel,REC-0182-Q2 2024-SITE-B-ST01,2024-Q2,ORG-12345,SITE-B,Scotland,Primary,Supplied as goods,,2024-04-03
Plastic,REC-0183-Q2 2024-SITE-C-PL02,2024-Q2,ORG-12345,SITE-C,Wales,Secondary,Supplied as goods,,2024-07-25
Glass,REC-0184-2024-Q1-SITE-D-GL01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Primary,Supplied as goods,,2024-07-19
Aluminium,REC-0185-Q2 2024-SITE-B-AL01,2024-Q2,ORG-12345,SITE-B,Scotland,Secondary,Exported,,2024-09-11
Aluminium,REC-0186-2024-Q3-SITE-D-AL01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Secondary,Exported,,2024-09-28
Other,REC-0187-2024-Q1-SITE-C-OT01,2024-Q1,ORG-12345,SITE-C,Wales,Secondary,Supplied as goods,,2024-09-17
Paper/card,REC-0188-2024-Q1-SITE-C-PC01,2024-Q1,ORG-12345,SITE-C,Wales,Shipment,Supplied as goods,,2024-06-02
Wood,REC-0189-Q4 2024-SITE-B-WD01,,ORG-12345,SITE-B,Scotland,Shipment,Supplied as goods,,2024-01-28
Fibre-based composite,REC-0190-2024-Q1-SITE-D-FB01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Primary,Imported,,2024-05-08
Plastic,REC-0191-Q2 2024-SITE-B-PL01,2024-Q2,ORG-12345,SITE-B,Scotland,Secondary,Supplied as goods,,2024-06-09
Wood,REC-0192-2024-Q1-SITE-D-WD01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Tertiary,Supplied as goods,,2024-01-24
Steel,REC-0193-2024-Q3-SITE-A-ST01,2024-Q3,ORG-12345,SITE-A,England,Primary,Supplied as goods,,2024-06-17
Plastic,REC-0194-2024-Q1-SITE-A-PL02,2024-Q1,ORG-12345,SITE-A,England,Primary,Supplied as goods,,2024-11-15
Other,REC-0195-2024-Q3-SITE-B-OT01,2024-Q3,ORG-12345,SITE-B,Scotland,Primary,Exported,,2024-01-15
Paper/card,REC-0196-2024-Q3-SITE-E-PC01,2024-Q3,ORG-12345,SITE-E,England,Primary,Exported,,2024-10-10
Other,REC-0197-2024-Q1-SITE-D-OT01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Shipment,Exported,,2024-07-31
Paper/card,REC-0198-Q2 2024-SITE-C-PC01,2024-Q2,ORG-12345,SITE-C,Wales,Secondary,Exported,,2024-12-16
Plastic,REC-0199-2024-Q1-SITE-B-PL02,2024-Q1,ORG-12345,SITE-B,Scotland,Tertiary,Exported,,2024-10-20
Paper/card,REC-0200-Q2 2024-SITE-D-PC01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Tertiary,Exported,,2024-02-16
