submission_id,reporting_period,organisation_id,site_id,nation,packaging_material,packaging_class,activity,weight_tonnes,submission_date
REC-0059-Q2 2024-SITE-B-AL01,2024-Q2,ORG-12345,SITE-B,Scotland,Aluminium,Tertiary,Exported,1950.69,2025-01-01
REC-0060-Q4 2024-SITE-B-PL01,,ORG-12345,SITE-B,Scotland,Plastic,Tertiary,Supplied as goods,3.90318,2024-10-26
REC-0061-2024-Q3-SITE-E-AL01,2024-Q3,ORG-12345,SITE-E,England,Aluminium,Tertiary,Supplied as goods,2309.49,2024-11-23
REC-0062-Q4 2024-SITE-D-OT01,,ORG-12345,SITE-D,Northern Ireland,Other,Secondary,Exported,2.25727,2024-05-20
REC-0063-Q4 2024-SITE-C-ST01,,ORG-12345,SITE-C,Wales,Steel,Tertiary,Exported,2.44876,2024-06-09
REC-0064-Q2 2024-SITE-B-AL01,2024-Q2,ORG-12345,SITE-B,Scotland,Aluminium,Secondary,Imported,1.63256,2024-07-29
REC-0065-Q4 2024-SITE-C-GL01,,ORG-12345,SITE-C,Wales,Glass,Tertiary,Supplied as goods,367.93,2024-02-15
REC-0066-Q4 2024-SITE-E-AL01,,ORG-12345,SITE-E,England,Aluminium,Tertiary,Imported,1.97791,2024-01-18
REC-0067-Q2 2024-SITE-E-PC01,2024-Q2,ORG-12345,SITE-E,England,Paper/card,Secondary,Imported,4274.57,2024-05-06
REC-0068-Q2 2024-SITE-D-ST01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Steel,Secondary,Imported,193.67,2024-03-20
REC-0069-Q4 2024-SITE-A-OT01,,ORG-12345,SITE-A,England,Other,Primary,Imported,2.97987,2024-09-07
REC-0070-2024-Q3-SITE-D-GL01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Glass,Primary,Imported,1.92656,2024-07-27
REC-0071-2024-Q1-SITE-D-ST01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Steel,Tertiary,Imported,1.29874,2024-10-17
REC-0072-Q2 2024-SITE-A-PL01,2024-Q2,ORG-12345,SITE-A,England,Plastic,Secondary,Supplied as goods,3.2682100000000003,2024-01-25
REC-0073-Q2 2024-SITE-E-GL01,2024-Q2,ORG-12345,SITE-E,England,Glass,Primary,Supplied as goods,2.39413,2025-01-07
REC-0074-2024-Q3-SITE-B-ST01,2024-Q3,ORG-12345,SITE-B,Scotland,Steel,Tertiary,Imported,0.88056,2024-11-06
REC-0075-Q2 2024-SITE-D-PL01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Plastic,Secondary,Exported,3402.87,2024-11-13
REC-0076-2024-Q1-SITE-E-AL01,2024-Q1,ORG-12345,SITE-E,England,Aluminium,Primary,Exported,3.8737800000000004,2024-10-13
REC-0077-Q4 2024-SITE-A-FB01,,ORG-12345,SITE-A,England,Fibre-based composite,Tertiary,Imported,391.34,2024-03-09
REC-0078-Q4 2024-SITE-B-FB01,,ORG-12345,SITE-B,Scotland,Fibre-based composite,Secondary,Exported,4463.3,2024-10-08
REC-0079-2024-Q3-SITE-D-ST01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Steel,Shipment,Exported,3884.48,2024-05-19
REC-0080-Q4 2024-SITE-E-PL02,,ORG-12345,SITE-E,England,Plastic,Secondary,Imported,1257.12,2024-01-29
REC-0081-2024-Q3-SITE-C-WD01,2024-Q3,ORG-12345,SITE-C,Wales,Wood,Tertiary,Imported,0.95011,2024-06-06
REC-0082-Q2 2024-SITE-A-ST01,2024-Q2,ORG-12345,SITE-A,England,Steel,Shipment,Supplied as goods,2.6073000000000004,2024-08-10
REC-0083-2024-Q1-SITE-D-WD01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Wood,Shipment,Supplied as goods,3468.52,2024-06-13
REC-0084-2024-Q3-SITE-D-AL01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Aluminium,Secondary,Exported,1254.36,2024-10-22
REC-0085-Q2 2024-SITE-C-PC01,2024-Q2,ORG-12345,SITE-C,Wales,Paper/card,Secondary,Exported,2296.04,2024-04-22
REC-0086-Q2 2024-SITE-B-PC01,2024-Q2,ORG-12345,SITE-B,Scotland,Paper/card,Primary,Exported,2.7025300000000003,2024-09-18
REC-0087-Q2 2024-SITE-A-ST01,2024-Q2,ORG-12345,SITE-A,England,Steel,Tertiary,Exported,4884.2,2024-05-10
REC-0088-2024-Q1-SITE-C-PC01,2024-Q1,ORG-12345,SITE-C,Wales,Paper/card,Primary,Imported,0.12003,2024-10-24
REC-0089-2024-Q1-SITE-A-ST01,2024-Q1,ORG-12345,SITE-A,England,Steel,Tertiary,Supplied as goods,3207.45,2024-06-08
REC-0090-Q4 2024-SITE-C-WD01,,ORG-12345,SITE-C,Wales,Wood,Secondary,Imported,1.73649,2024-02-17
REC-0091-Q2 2024-SITE-B-FB01,2024-Q2,ORG-12345,SITE-B,Scotland,Fibre-based composite,Secondary,Supplied as goods,2.90625,2024-06-18
REC-0092-Q2 2024-SITE-E-PL02,2024-Q2,ORG-12345,SITE-E,England,Plastic,Primary,Supplied as goods,2812.46,2024-07-27
REC-0093-2024-Q1-SITE-C-WD01,2024-Q1,ORG-12345,SITE-C,Wales,Wood,Secondary,Imported,4307.82,2024-03-05
REC-0094-Q2 2024-SITE-B-AL01,2024-Q2,ORG-12345,SITE-B,Scotland,Aluminium,Tertiary,Supplied as goods,1.36,2024-10-23
REC-0095-2024-Q1-SITE-C-PL02,2024-Q1,ORG-12345,SITE-C,Wales,Plastic,Primary,Supplied as goods,2072.16,2024-06-10
REC-0096-Q2 2024-SITE-C-ST01,2024-Q2,ORG-12345,SITE-C,Wales,Steel,Tertiary,Imported,0.40234,2024-03-13
REC-0097-2024-Q1-SITE-B-OT01,2024-Q1,ORG-12345,SITE-B,Scotland,Other,Primary,Exported,787.5,2024-04-08
REC-0098-2024-Q1-SITE-D-ST01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Steel,Shipment,Exported,4129.99,2025-01-01
REC-0099-2024-Q1-SITE-D-ST01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Steel,Tertiary,Imported,4716.25,2024-02-04
REC-0100-Q2 2024-SITE-A-FB01,2024-Q2,ORG-12345,SITE-A,England,Fibre-based composite,Tertiary,Imported,3.03838,2024-11-04
REC-0101-2024Q2-SITE-B-PL01,2024-Q2,ORG-12345,SITE-B,Scotland,Plastic,Tertiary,Exported,4.11604,2024-12-13
REC-0102-2024-Q1-SITE-D-WD01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Wood,Secondary,Supplied as goods,4984.88,2024-07-11
REC-0103-Q4 2024-SITE-C-FB01,,ORG-12345,SITE-C,Wales,Fibre-based composite,Primary,Imported,3.3671599999999997,2024-09-24
REC-0104-2024-Q1-SITE-D-ST01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Steel,Tertiary,Imported,4.0771500000000005,2024-05-23
REC-0105-Q4 2024-SITE-E-PC01,,ORG-12345,SITE-E,England,Paper/card,Primary,Imported,4.33131,2024-02-11
REC-0106-2024-Q1-SITE-D-AL01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Aluminium,Shipment,Imported,3132.04,2024-05-30
REC-0107-2024-Q1-SITE-A-OT01,2024-Q1,ORG-12345,SITE-A,England,Other,Primary,Imported,2218.67,2024-03-15
REC-0108-Q4 2024-SITE-E-AL01,,ORG-12345,SITE-E,England,Aluminium,Tertiary,Supplied as goods,1.5882100000000001,2024-05-09
REC-0109-2024-Q3-SITE-D-PL02,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Plastic,Secondary,Supplied as goods,3.25616,2024-06-02
REC-0110-Q2 2024-SITE-D-FB01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Fibre-based composite,Tertiary,Imported,4.90221,2024-04-21
REC-0111-2024-Q3-SITE-D-OT01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Other,Tertiary,Supplied as goods,4326.93,2024-05-30
REC-0112-Q4 2024-SITE-B-PL01,,ORG-12345,SITE-B,Scotland,Plastic,Secondary,Exported,1527.85,2024-09-18
REC-0113-2024-Q3-SITE-D-PC01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Paper/card,Secondary,Exported,,2025-01-06
REC-0114-2024-Q3-SITE-A-AL01,2024-Q3,ORG-12345,SITE-A,England,Aluminium,Shipment,Imported,1206.13,2024-09-13
REC-0115-2024-Q1-SITE-D-UNKNOWN,2024-Q1,ORG-12345,SITE-D,Northern Ireland,,Secondary,Exported,3.97235,2024-09-28
REC-0116-Q4 2024-SITE-A-PC01,,ORG-12345,SITE-A,England,Paper/card,Tertiary,Supplied as goods,4377.24,2024-03-28
REC-0117-2024-Q3-SITE-Z-FB01,2024-Q3,ORG-12345,SITE-Z,,Fibre-based composite,Tertiary,Exported,4.85129,2024-11-29
REC-0118-Q4 2024-SITE-C-FB01,,ORG-12345,SITE-C,Wales,Fibre-based composite,Tertiary,Supplied as goods,4266.24,2024-02-02
REC-0119-2024-Q1-SITE-B-PL02,2024-Q1,ORG-12345,SITE-B,Scotland,Plastic,Primary,Exported,3437.78,2024-03-05
REC-0120-2024-Q3-SITE-A-PL02,2024-Q3,ORG-12345,SITE-A,England,Plastic,Secondary,Supplied as goods,3.48531,2024-06-13
REC-0121-Q2 2024-SITE-E-PC01,2024-Q2,ORG-12345,SITE-E,England,Paper/card,Secondary,Imported,770.57,2024-04-13
REC-0122-Q2 2024-SITE-D-PL02,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Plastic,Shipment,Imported,3.11757,2024-09-07
REC-0123-Q2 2024-SITE-C-ST01,2024-Q2,ORG-12345,SITE-C,Wales,Steel,Secondary,Imported,3350.86,2024-08-28
REC-0124-Q4 2024-SITE-C-PC01,,ORG-12345,SITE-C,Wales,Paper/card,Shipment,Imported,3212.75,2024-04-25
REC-0125-2024-Q3-SITE-E-FB01,2024-Q3,ORG-12345,SITE-E,England,Fibre-based composite,Tertiary,Imported,577.93,2024-06-14
REC-0126-2024-Q1-SITE-E-ST01,2024-Q1,ORG-12345,SITE-E,England,Steel,Primary,Exported,2.00924,2024-09-25
REC-0127-Q2 2024-SITE-B-ST01,2024-Q2,ORG-12345,SITE-B,Scotland,Steel,Tertiary,Supplied as goods,3054.97,2024-05-22
REC-0128-Q4 2024-SITE-C-GL01,,ORG-12345,SITE-C,Wales,Glass,Tertiary,Supplied as goods,4.521850000000001,2024-11-06
REC-0129-Q4 2024-SITE-C-PC01,,ORG-12345,SITE-C,Wales,Paper/card,Tertiary,Supplied as goods,496.16,2024-04-26
REC-0130-2024-Q3-SITE-E-GL01,2024-Q3,ORG-12345,SITE-E,England,Glass,Tertiary,Exported,4388.48,2024-05-25
REC-0131-Q4 2024-SITE-A-WD01,,ORG-12345,SITE-A,England,Wood,Tertiary,Imported,3745.47,2024-03-27
REC-0132-2024-Q3-SITE-E-AL01,2024-Q3,ORG-12345,SITE-E,England,Aluminium,Tertiary,Exported,3634.87,2024-08-04
REC-0133-Q4 2024-SITE-C-PL01,,ORG-12345,SITE-C,Wales,Plastic,Secondary,Exported,661.76,2024-07-23
REC-0134-Q2 2024-SITE-E-PL02,2024-Q2,ORG-12345,SITE-E,England,Plastic,Tertiary,Supplied as goods,2383.81,2024-02-16
REC-0135-2024-Q1-SITE-B-WD01,2024-Q1,ORG-12345,SITE-B,Scotland,Wood,Tertiary,Imported,3.26374,2024-06-18
REC-0136-Q4 2024-SITE-D-WD01,,ORG-12345,SITE-D,Northern Ireland,Wood,Primary,Supplied as goods,1.2122600000000001,2024-12-23
REC-0137-2024-Q1-SITE-D-OT01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Other,Secondary,Exported,3.72423,2024-11-25
REC-0138-Q4 2024-SITE-D-FB01,,ORG-12345,SITE-D,Northern Ireland,Fibre-based composite,Secondary,Supplied as goods,3.46689,2024-07-18
REC-0139-Q4 2024-SITE-A-PL02,,ORG-12345,SITE-A,England,Plastic,Tertiary,Imported,2745.11,2024-04-21
REC-0140-2024-Q1-SITE-E-PL02,2024-Q1,ORG-12345,SITE-E,England,Plastic,Tertiary,Imported,0.50378,2024-07-03
REC-0141-Q2 2024-SITE-E-AL01,2024-Q2,ORG-12345,SITE-E,England,Aluminium,Primary,Exported,1.06577,2024-07-01
REC-0142-2024-Q3-SITE-B-GL01,2024-Q3,ORG-12345,SITE-B,Scotland,Glass,Tertiary,Exported,0.06404000000000001,2024-03-11
REC-0143-2024-Q3-SITE-E-PL01,2024-Q3,ORG-12345,SITE-E,England,Plastic,Primary,Supplied as goods,1.8233,2024-04-13
REC-0144-Q4 2024-SITE-A-ST01,,ORG-12345,SITE-A,England,Steel,Primary,Supplied as goods,3.7215000000000003,2024-07-18
REC-0145-2024-Q1-SITE-E-OT01,2024-Q1,ORG-12345,SITE-E,England,Other,Shipment,Supplied as goods,2.28743,2024-12-17
REC-0146-Q4 2024-SITE-A-OT01,,ORG-12345,SITE-A,England,Other,Secondary,Imported,3.23454,2024-08-20
REC-0147-2024-Q3-SITE-A-PL02,2024-Q3,ORG-12345,SITE-A,England,Plastic,Secondary,Exported,4.553020000000001,2024-03-30
REC-0148-2024-Q3-SITE-D-PL02,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Plastic,Primary,Imported,3140.37,2024-09-29
REC-0149-Q4 2024-SITE-D-FB01,,ORG-12345,SITE-D,Northern Ireland,Fibre-based composite,Primary,Exported,0.6163500000000001,2024-08-13
REC-0150-Q4 2024-SITE-C-PC01,,ORG-12345,SITE-C,Wales,Paper/card,Tertiary,Imported,2.02371,2024-12-20
REC-0151-2024-Q1-SITE-A-ST01,2024-Q1,ORG-12345,SITE-A,England,Steel,Secondary,Supplied as goods,3449.76,2024-03-02
REC-0152-2024-Q1-SITE-E-FB01,2024-Q1,ORG-12345,SITE-E,England,Fibre-based composite,Primary,Exported,3.70704,2024-10-28
REC-0153-2024-Q1-SITE-D-OT01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Other,Secondary,Exported,655.04,2024-11-17
REC-0154-Q4 2024-SITE-B-ST01,,ORG-12345,SITE-B,Scotland,Steel,Secondary,Supplied as goods,2.9107,2024-03-10
REC-0155-Q2 2024-SITE-E-PC01,2024-Q2,ORG-12345,SITE-E,England,Paper/card,Tertiary,Exported,1869.43,2024-10-28
REC-0156-Q2 2024-SITE-A-OT01,2024-Q2,ORG-12345,SITE-A,England,Other,Primary,Exported,4648.97,2025-01-08
REC-0157-Q4 2024-SITE-E-ST01,,ORG-12345,SITE-E,England,Steel,Secondary,Imported,0.08022,2024-03-27
REC-0158-Q4 2024-SITE-D-PL01,,ORG-12345,SITE-D,Northern Ireland,Plastic,Primary,Exported,2675.89,2024-04-04
REC-0159-Q2 2024-SITE-A-PC01,2024-Q2,ORG-12345,SITE-A,England,Paper/card,Secondary,Exported,1.6557000000000002,2024-11-26
REC-0160-Q4 2024-SITE-D-PL01,,ORG-12345,SITE-D,Northern Ireland,Plastic,Tertiary,Supplied as goods,1396.91,2024-06-02
REC-0161-2024-Q3-SITE-A-AL01,2024-Q3,ORG-12345,SITE-A,England,Aluminium,Tertiary,Exported,613.4,2024-12-27
REC-0162-2024-Q1-SITE-D-WD01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Wood,Shipment,Exported,1.57668,2024-04-28
REC-0163-2024-Q1-SITE-C-ST01,2024-Q1,ORG-12345,SITE-C,Wales,Steel,Primary,Supplied as goods,3832.6,2024-09-25
REC-0164-2024-Q3-SITE-E-FB01,2024-Q3,ORG-12345,SITE-E,England,Fibre-based composite,Primary,Supplied as goods,1.93203,2024-08-05
REC-0165-Q4 2024-SITE-C-PL01,,ORG-12345,SITE-C,Wales,Plastic,Secondary,Supplied as goods,2.3257800000000004,2024-08-09
REC-0166-Q4 2024-SITE-B-FB01,,ORG-12345,SITE-B,Scotland,Fibre-based composite,Secondary,Supplied as goods,2054.91,2024-07-18
REC-0167-2024-Q1-SITE-E-PL02,2024-Q1,ORG-12345,SITE-E,England,Plastic,Secondary,Supplied as goods,1254.42,2024-06-21
REC-0168-2024-Q1-SITE-E-PC01,2024-Q1,ORG-12345,SITE-E,England,Paper/card,Primary,Imported,3.9066300000000003,2024-10-02
REC-0169-2024-Q1-SITE-B-AL01,2024-Q1,ORG-12345,SITE-B,Scotland,Aluminium,Tertiary,Imported,1.78794,2024-05-25
REC-0170-Q4 2024-SITE-B-AL01,,ORG-12345,SITE-B,Scotland,Aluminium,Primary,Exported,0.80671,2024-10-29
REC-0171-Q2 2024-SITE-C-WD01,2024-Q2,ORG-12345,SITE-C,Wales,Wood,Tertiary,Exported,3232.81,2024-02-18
REC-0172-2024-Q1-SITE-E-WD01,2024-Q1,ORG-12345,SITE-E,England,Wood,Secondary,Exported,1548.96,2024-09-30
REC-0173-2024-Q3-SITE-C-PL02,2024-Q3,ORG-12345,SITE-C,Wales,Plastic,Secondary,Imported,2.2869699999999997,2024-12-10
REC-0174-2024-Q1-SITE-E-PL02,2024-Q1,ORG-12345,SITE-E,England,Plastic,Shipment,Exported,2559.99,2024-11-02
REC-0175-Q4 2024-SITE-A-AL01,,ORG-12345,SITE-A,England,Aluminium,Secondary,Exported,2.40436,2024-07-08
REC-0176-Q4 2024-SITE-D-PL02,,ORG-12345,SITE-D,Northern Ireland,Plastic,Shipment,Exported,0.90417,2024-10-08
REC-0177-2024-Q3-SITE-D-GL01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Glass,Secondary,Imported,4593.79,2024-11-16
REC-0178-2024-Q1-SITE-C-PL01,2024-Q1,ORG-12345,SITE-C,Wales,Plastic,Tertiary,Exported,3.2541599999999997,2024-12-27
REC-0179-2024-Q1-SITE-C-FB01,2024-Q1,ORG-12345,SITE-C,Wales,Fibre-based composite,Secondary,Imported,3.63248,2024-12-19
REC-0180-2024-Q1-SITE-B-GL01,2024-Q1,ORG-12345,SITE-B,Scotland,Glass,Secondary,Imported,4840.1,2024-10-27
REC-0181-2024-Q3-SITE-D-FB01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Fibre-based composite,Tertiary,Imported,4.07526,2024-07-18
REC-0182-Q2 2024-SITE-B-ST01,2024-Q2,ORG-12345,SITE-B,Scotland,Steel,Primary,Supplied as goods,1741.58,2024-04-03
REC-0183-Q2 2024-SITE-C-PL02,2024-Q2,ORG-12345,SITE-C,Wales,Plastic,Secondary,Supplied as goods,2.56306,2024-07-25
REC-0184-2024-Q1-SITE-D-GL01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Glass,Primary,Supplied as goods,4.16516,2024-07-19
REC-0185-Q2 2024-SITE-B-AL01,2024-Q2,ORG-12345,SITE-B,Scotland,Aluminium,Secondary,Exported,1460.39,2024-09-11
REC-0186-2024-Q3-SITE-D-AL01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Aluminium,Secondary,Exported,4738.29,2024-09-28
REC-0187-2024-Q1-SITE-C-OT01,2024-Q1,ORG-12345,SITE-C,Wales,Other,Secondary,Supplied as goods,4.09361,2024-09-17
REC-0188-2024-Q1-SITE-C-PC01,2024-Q1,ORG-12345,SITE-C,Wales,Paper/card,Shipment,Supplied as goods,3.57143,2024-06-02
